Tainan:
2013, 17.5, 20.4, 22.5, 23.9, 27.3, 29.5, 29.4, 28.9, 28.6, 25.7, 22.8, 18.0
2014, 17.6, 18.4, 21.3, 25.0, 27.2, 29.0, 30.4, 29.0, 29.5, 26.4, 23.9, 17.9
2015, 17.8, 18.9, 21.8, 24.9, 27.7, 30.4, 29.1, 28.4, 28.4, 26.8, 25.1, 20.5
2016, 17.3, 17.4, 19.7, 26.3, 28.4, 29.4, 29.9, 29.3, 28.0, 27.8, 24.3, 20.9
2017, 19.4, 18.6, 21.5, 24.6, 27.7, 29.3, 29.6, 29.9, 30.0, 27.1, 23.8, 19.1
2018, 18.1, 17.5, 22.3, 25.6, 28.9, 29.0, 29.2, 27.8, 28.9, 25.8, 24.2, 21.6
2019, 19.7, 22.0, 22.5, 26.0, 26.9, 29.3, 29.2, 28.7, 28.4, 27.1, 23.5, 19.8
2020, 19.0, 20.0, 23.3, 23.4, 28.1, 30.1, 30.2, 28.8, 29.3, 26.8, 24.2, 20.1
2021, 16.5, 19.7, 22.4, 24.6, 29.0, 28.3, 29.1, 28.4, 29.5, 27.3, 23.2, 19.3
Taipei:
2013, 16.7, 18.8, 19.9, 21.1, 26.0, 29.2, 29.5, 29.6, 27.9, 24.2, 21.2, 16.4
2014, 16.8, 16.5, 18.9, 22.5, 25.2, 28.0, 30.5, 30.2, 29.7, 24.7, 22.3, 16.5
2015, 16.7, 17.3, 18.9, 22.7, 26.1, 30.0, 30.0, 28.6, 27.4, 25.2, 23.5, 18.9
2016, 16.2, 15.5, 17.5, 24.0, 27.1, 29.4, 30.3, 30.1, 27.8, 27.0, 22.6, 20.1
2017, 18.3, 17.0, 18.2, 22.5, 25.6, 28.0, 30.3, 31.1, 29.6, 25.6, 22.5, 17.8
2018, 16.9, 15.6, 20.6, 23.5, 28.2, 28.5, 30.3, 29.5, 28.2, 23.3, 22.7, 19.5
2019, 18.5, 18.8, 19.8, 24.2, 25.0, 28.5, 30.3, 30.5, 27.3, 25.3, 22.0, 19.1
2020, 17.9, 18.7, 20.8, 20.9, 26.9, 30.5, 30.9, 30.2, 27.8, 24.5, 23.3, 18.1
2021, 16.0, 19.1, 20.3, 22.4, 28.2, 29.3, 30.3, 28.9, 29.5, 25.7, 21.2, 18.3
Kaoshiung:
2013, 19.7, 22.3, 23.9, 25.1, 27.6, 29.8, 29.7, 29.0, 28.6, 26.6, 24.3, 19.9
2014, 19.5, 20.3, 22.6, 25.9, 27.8, 29.2, 30.3, 29.1, 29.5, 27.2, 25.2, 20.2
2015, 19.9, 20.8, 23.6, 26.2, 28.3, 30.6, 29.5, 28.8, 28.8, 27.7, 26.2, 22.4
2016, 19.3, 19.6, 21.6, 26.9, 28.9, 29.7, 30.2, 29.4, 28.4, 28.4, 25.7, 22.9
2017, 21.7, 21.1, 23.5, 25.6, 28.2, 29.7, 30.4, 30.1, 30.2, 28.0, 25.5, 21.4
2018, 20.4, 19.8, 23.5, 26.3, 29.1, 29.1, 29.2, 28.0, 29.1, 26.8, 25.6, 23.4
2019, 21.9, 23.8, 24.1, 26.9, 27.5, 29.5, 29.3, 28.8, 28.7, 27.7, 25.1, 21.8
2020, 20.9, 21.8, 24.7, 25.0, 28.6, 30.3, 30.5, 29.1, 29.7, 27.9, 25.8, 22.3
2021, 18.3, 20.8, 23.6, 25.4, 29.1, 28.2, 29.1, 28.4, 29.1, 27.6, 24.6, 21.2
